module,strategy_label,source,strategy,model,feature_set,top_n,cost_rate,total_return,annual_return,benchmark_annual_return,excess_annual_return,information_ratio,max_drawdown,monthly_win_rate_vs_benchmark,avg_traded_notional,avg_cost
原始口径,原始低波动单因子 Top50,robustness_original,single_low_vol,,,50,0.0015,0.184996440543111,0.0925996759885632,-0.0512265015307952,0.1515916894300002,1.025913825306559,-0.1267356751462571,0.6521739130434783,1.1838149873372148,0.0017757224810057
行业中性化,行业中性低波动单因子 Top50,industry_neutral,single_low_vol_ind_neu,,,50,0.0015,0.1174921128505146,0.0596709436075741,-0.0512265015307952,0.1168850577269458,1.0305606315539535,-0.1466425192358347,0.6086956521739131,1.285904505746232,0.0019288567586192
原始口径,原始低换手单因子 Top50,robustness_original,single_low_turnover,,,50,0.0015,0.0557964716357799,0.0287331062284279,-0.0512265015307952,0.0842768141060368,0.5752216916380509,-0.1652111014502344,0.5652173913043478,0.577646049694674,0.0008664690745419
原始口径,原始 BP 价值单因子 Top50,robustness_original,single_bp,,,50,0.0015,0.0358187983488305,0.0185307626142865,-0.0512265015307952,0.0735236220843345,0.4666956936651009,-0.228987964573649,0.5652173913043478,0.2193592815155241,0.0003290389222732
行业中性化,行业中性 BP 价值单因子 Top50,industry_neutral,single_bp_ind_neu,,,50,0.0015,0.0282424709518094,0.0146370472251473,-0.0512265015307952,0.0694196758891452,1.0315321306961975,-0.2626900733013423,0.6521739130434783,0.3219508321639382,0.0004829262482458
行业中性化,行业中性低换手单因子 Top50,industry_neutral,single_low_turnover_ind_neu,,,50,0.0015,-0.0312942230610535,-0.0164515268410696,-0.0512265015307952,0.0366525569546716,0.3922243735820085,-0.19639077952293,0.6086956521739131,0.8358422706766793,0.0012537634060149
财务增强-原始口径,财务增强 LightGBM（原始口径） Top50,finance_enhanced,,lightgbm_finance,raw_fin,50,0.0015,-0.0772119819628779,-0.0410580448952213,-0.0512265015307952,0.0107174754058583,0.2340846387939618,-0.2844019333328889,0.4782608695652174,1.2915237048012946,0.0019372855572019
财务增强-行业中性,财务增强 LightGBM（行业中性） Top50,finance_enhanced,,lightgbm_finance,ind_neu_fin,50,0.0015,-0.1058076384060934,-0.0566787255614701,-0.0512265015307952,-0.0057466023655505,-0.0787674279497334,-0.3140213134707814,0.4347826086956521,1.3642046914209758,0.0020463070371314
行业中性化,行业中性 LightGBM Top50,industry_neutral,lightgbm_industry_neutral,,,50,0.0015,-0.120046663183586,-0.0645460305910402,-0.0512265015307952,-0.0140386816049724,-0.1478167342227042,-0.309138664980315,0.4347826086956521,1.5835689002926543,0.0023753533504389
财务增强-原始口径,财务增强 Ridge（原始口径） Top50,finance_enhanced,,ridge_finance,raw_fin,50,0.0015,-0.1224686496592586,-0.0658902620127287,-0.0512265015307952,-0.0154554912269289,-0.2496462059596466,-0.2998544271608027,0.4782608695652174,0.8013149352498121,0.0012019724028747
行业中性化,行业中性 Ridge Top50,industry_neutral,ridge_industry_neutral,,,50,0.0015,-0.1382145691897456,-0.0746730576883224,-0.0512265015307952,-0.024712490594812,-0.3997489573817108,-0.3014653785904775,0.391304347826087,1.2871651324257982,0.0019307476986386
财务增强-行业中性,财务增强 Ridge（行业中性） Top50,finance_enhanced,,ridge_finance,ind_neu_fin,50,0.0015,-0.1444587728515574,-0.0781771945167982,-0.0512265015307952,-0.0284058239711443,-0.4304636314079974,-0.3271633663246238,0.391304347826087,1.1481030349608552,0.0017221545524412
原始口径,原始 Ridge Top50,robustness_original,ridge,,,50,0.0015,-0.1674643780805859,-0.0911943067080032,-0.0512265015307952,-0.0421257605125922,-0.597497327752148,-0.3267595122401729,0.3478260869565217,0.8958895190809,0.0013438342786213
原始口径,原始 LightGBM Top50,robustness_original,lightgbm,,,50,0.0015,-0.2110440762560422,-0.116333508774219,-0.0512265015307952,-0.0686222869298841,-1.4340853400025886,-0.3614025192476515,0.4347826086956521,1.4705062988189783,0.0022057594482284
