module,period,factor,factor_col,n_months,ic_mean,ic_std,icir,t_stat,positive_ratio,ic_min,ic_median,ic_max
原始方向因子,full_2018_2024,low_turnover,low_turnover_z,84,0.0830972807522475,0.1841690439322998,0.4512011301030257,4.1353266646934665,0.6904761904761905,-0.3927101180230659,0.1150530546142536,0.4584917525572665
原始方向因子,full_2018_2024,low_vol,low_vol_z,84,0.0798427367226268,0.185036094644214,0.431498172700563,3.954746077270916,0.6785714285714286,-0.3779161706762819,0.0945621782060646,0.5751011669064008
行业中性化因子,full_2018_2024,,low_vol_ind_neu_z,84,0.0694506034905409,0.115542760139971,0.6010813953761095,5.509001986281402,0.75,-0.228293564206979,0.0619116167539386,0.3058256191879529
行业中性化因子,full_2018_2024,,low_turnover_ind_neu_z,84,0.0677647654464932,0.1077207834972697,0.6290779109326734,5.765594289747328,0.7261904761904762,-0.2268535795080007,0.0766290379092739,0.2980805028610717
原始方向因子,full_2018_2024,value_bp,bp_z,84,0.0349537864711455,0.2253114667802062,0.1551354086440852,1.421839506158854,0.5595238095238095,-0.4151254184167238,0.0267454436591929,0.6088760613983635
行业中性化因子,full_2018_2024,,bp_ind_neu_z,84,0.0289106587128697,0.130020716003045,0.2223542493966325,2.037910357910315,0.5714285714285714,-0.2735515219501322,0.0153939053109345,0.3574419838893724
财务质量因子,full_2018_2024,,fin_ocf_quality_z,84,0.0261143289992995,0.1014514134596774,0.2574072465700918,2.3591763836752158,0.6071428571428571,-0.2674473975597164,0.0264883439125331,0.2484354300094926
财务质量因子,full_2018_2024,,fin_ocf_quality_ind_neu_z,84,0.016394170742436,0.0694915488706319,0.2359160359622441,2.162206184901816,0.6071428571428571,-0.1424457402479437,0.0136497211765278,0.1694578951300914
财务质量因子,full_2018_2024,,fin_netprofit_margin_z,84,0.0125243124438482,0.1086225952042153,0.1153011711817603,1.056752689314955,0.5595238095238095,-0.2632759903023965,0.0143630041879284,0.2275369781898985
财务质量因子,full_2018_2024,,fin_netprofit_yoy_z,84,0.0117789811015616,0.1405172061482603,0.0838258987951524,0.7682770528529869,0.5595238095238095,-0.2831330303886107,0.0215975110193296,0.3146739977169158
财务质量因子,full_2018_2024,,fin_roe_dt_ind_neu_z,84,0.0110740346055891,0.1180079584361132,0.0938414218188885,0.8600708376146743,0.5119047619047619,-0.2993930747138834,0.006668144327856,0.2703897243943117
财务质量因子,full_2018_2024,,fin_netprofit_yoy_ind_neu_z,84,0.010953132502203,0.0957740450387552,0.1143643092214686,1.0481662076174325,0.5357142857142857,-0.1974630223946802,0.0187778217453911,0.2424494523938927
财务质量因子,full_2018_2024,,fin_roe_dt_z,84,0.0106484426432019,0.156258186906684,0.0681464623006349,0.6245726436722278,0.5357142857142857,-0.4330973484605233,0.0276271198576463,0.3026213218282887
财务质量因子,full_2018_2024,,fin_netprofit_margin_ind_neu_z,84,0.0102771456455173,0.0849484277541526,0.1209809989098345,1.1088091703113736,0.5238095238095238,-0.1923355571534332,0.0115783535863431,0.2059535417841595
原始方向因子,test_2023_2024,low_vol,low_vol_z,24,0.1097658388676903,0.2098675887919046,0.5230242530519056,2.562285086154952,0.7083333333333334,-0.2781013449105499,0.1218023967724943,0.5751011669064008
行业中性化因子,test_2023_2024,,low_vol_ind_neu_z,24,0.1010451875268374,0.1215366882970431,0.8313965843785108,4.072994811240263,0.8333333333333334,-0.1917276712132307,0.1054150171901121,0.3058256191879529
原始方向因子,test_2023_2024,value_bp,bp_z,24,0.0842423904393768,0.2200641803919999,0.3828082802449539,1.8753699118249656,0.7083333333333334,-0.3344742991507759,0.1052008188240506,0.6088760613983635
原始方向因子,test_2023_2024,low_turnover,low_turnover_z,24,0.0800015114614271,0.2140512535024204,0.3737493247640452,1.830990274763335,0.6666666666666666,-0.3571123188378894,0.0979286349809752,0.4584917525572665
行业中性化因子,test_2023_2024,,low_turnover_ind_neu_z,24,0.0665811427336771,0.1157325671960567,0.5753017006948903,2.818391229715703,0.75,-0.1639391791688221,0.0609018232007951,0.2331240919172828
行业中性化因子,test_2023_2024,,bp_ind_neu_z,24,0.0630719246549535,0.1172044450365535,0.538135943865293,2.636316949441958,0.75,-0.1531481571621646,0.0528043400003055,0.2912404033639628
财务质量因子,test_2023_2024,,fin_netprofit_margin_z,24,0.0204800804682951,0.1159233351328687,0.1766691792021106,0.8654986846429864,0.5,-0.1786953704573028,0.0012384322232623,0.2269156618757609
财务质量因子,test_2023_2024,,fin_netprofit_yoy_z,24,0.0170742680466582,0.1459312978638453,0.1170020982242522,0.5731908789688314,0.5,-0.1828411400268029,-0.0188775596571067,0.3146739977169158
财务质量因子,test_2023_2024,,fin_ocf_quality_z,24,0.0161478582023561,0.1087185668298139,0.148528983348665,0.7276404424371367,0.5833333333333334,-0.1828465836169123,0.034257011878268,0.2048125325555195
财务质量因子,test_2023_2024,,fin_ocf_quality_ind_neu_z,24,0.0153444204630096,0.0820581963150454,0.1869943668283653,0.9160815670086316,0.5833333333333334,-0.1105782736479137,0.006295933445125,0.1694578951300914
财务质量因子,test_2023_2024,,fin_netprofit_margin_ind_neu_z,24,0.0142172795187607,0.0806051083184457,0.1763818672954658,0.8640911495063746,0.4583333333333333,-0.110227328370113,-0.0050138540581375,0.2059535417841595
财务质量因子,test_2023_2024,,fin_netprofit_yoy_ind_neu_z,24,0.0112991067322821,0.1103674427153839,0.1023771725998974,0.5015436683571834,0.5416666666666666,-0.1386109037397841,0.0043164282134295,0.2263415108579768
财务质量因子,test_2023_2024,,fin_roe_dt_ind_neu_z,24,0.0020088611666652,0.1260032019555212,0.0159429374451478,0.0781041234834468,0.5,-0.2052580122911851,-0.0040732944992187,0.2703897243943117
财务质量因子,test_2023_2024,,fin_roe_dt_z,24,-0.0020743033575729,0.1753503254861448,-0.0118294810792173,-0.0579523851319812,0.5,-0.2637231744225352,0.0117696252512767,0.3026213218282887
