module,model,feature_set,split,n_months,ic_mean,ic_std,icir,t_stat,positive_ratio,ic_min,ic_median,ic_max
原始基础模型,lightgbm,base_raw,test,23,0.0692568678625162,0.1345942421652847,0.5145604057673379,2.467745014627583,0.6086956521739131,-0.1290854958946231,0.0544479532300424,0.3231084954583865
财务增强模型,lightgbm_finance,raw_fin,test,23,0.0607322370004176,0.1398522820178099,0.4342598928252275,2.082637283321629,0.6086956521739131,-0.1784066340542957,0.0547076703028479,0.381734402539835
财务增强模型,lightgbm_finance,ind_neu_fin,test,23,0.0595594490300788,0.1212515567502521,0.4912056440871634,2.355739512342346,0.7391304347826086,-0.1532548604752442,0.036837826869217,0.3033715520445605
行业中性基础模型,ridge_industry_neutral,base_ind_neu,test,23,0.0539386650940409,0.1086068331893358,0.496641541881705,2.381809162342915,0.6521739130434783,-0.1094483960426104,0.0414307897231588,0.2676677751922788
行业中性基础模型,lightgbm_industry_neutral,base_ind_neu,test,23,0.0533920727746669,0.1058408032338577,0.5044564208067835,2.4192880050426786,0.6521739130434783,-0.0813352112487377,0.0270504226306665,0.2441286224140649
原始基础模型,ridge,base_raw,test,23,0.0524460837116922,0.1345354356276022,0.3898310022711374,1.8695638094565128,0.5652173913043478,-0.1676324214694449,0.0285202694545717,0.3361407631665544
财务增强模型,ridge_finance,raw_fin,test,23,0.0524208286000777,0.1538944493611843,0.3406284555269964,1.6335966847536938,0.5652173913043478,-0.2406240271735113,0.0651091884081895,0.3903739568928667
财务增强模型,ridge_finance,ind_neu_fin,test,23,0.050507091403852,0.1250911875072627,0.4037621866921649,1.93637542285996,0.6521739130434783,-0.135511780949309,0.0182142982000947,0.3399134770727716
