module,strategy_label,source,strategy,model,feature_set,top_n,cost_rate,total_return,annual_return,benchmark_annual_return,excess_annual_return,information_ratio,max_drawdown,monthly_win_rate_vs_benchmark,avg_traded_notional,avg_cost
原始口径,原始低波动单因子 Top50,robustness_original,single_low_vol,,,50,0.0,0.2342285587896695,0.1160525814703816,-0.0512265015307952,0.1763108721639807,1.200947429289325,-0.1180833128811059,0.7391304347826086,1.1838149873372148,0.0
行业中性化,行业中性低波动单因子 Top50,industry_neutral,single_low_vol_ind_neu,,,50,0.0,0.1680984919667132,0.0844428669531005,-0.0512265015307952,0.1429944751859015,1.2832874940741272,-0.1375874186976551,0.6521739130434783,1.285904505746232,0.0
原始口径,原始低换手单因子 Top50,robustness_original,single_low_turnover,,,50,0.0,0.0770572072683191,0.0394897911109553,-0.0512265015307952,0.0956142775784909,0.6664125352393458,-0.1610518419923456,0.5652173913043478,0.577646049694674,0.0
原始口径,原始 BP 价值单因子 Top50,robustness_original,single_bp,,,50,0.0,0.0436283403896458,0.0225301045281371,-0.0512265015307952,0.0777388978274948,0.4948688625069641,-0.2265021660654834,0.5652173913043478,0.2193592815155241,0.0
行业中性化,行业中性 BP 价值单因子 Top50,industry_neutral,single_bp_ind_neu,,,50,0.0,0.0397655237904472,0.0205537144514922,-0.0512265015307952,0.0756557978254042,1.1095856780175954,-0.2582181343952847,0.6521739130434783,0.3219508321639382,0.0
行业中性化,行业中性低换手单因子 Top50,industry_neutral,single_low_turnover_ind_neu,,,50,0.0,-0.0028635013897864,-0.0014950251886434,-0.0512265015307952,0.05241659513297,0.6075976451958143,-0.1881325587359644,0.6086956521739131,0.8358422706766793,0.0
财务增强-原始口径,财务增强 LightGBM（原始口径） Top50,finance_enhanced,,lightgbm_finance,raw_fin,50,0.0,-0.0349393759369868,-0.0183842265246603,-0.0512265015307952,0.0346155062922017,0.6247932069572262,-0.2616738676615756,0.6086956521739131,1.2915237048012946,0.0
财务增强-行业中性,财务增强 LightGBM（行业中性） Top50,finance_enhanced,,lightgbm_finance,ind_neu_fin,50,0.0,-0.0624011925132458,-0.0330585043915183,-0.0512265015307952,0.019148929822123,0.3579431318718907,-0.2887634292527347,0.5217391304347826,1.3642046914209758,0.0
行业中性化,行业中性 LightGBM Top50,industry_neutral,lightgbm_industry_neutral,,,50,0.0,-0.0701662176258369,-0.0372449185359933,-0.0512265015307952,0.0147364813808148,0.3502195500026765,-0.277544937192464,0.5217391304347826,1.5835689002926543,0.0
财务增强-原始口径,财务增强 Ridge（原始口径） Top50,finance_enhanced,,ridge_finance,raw_fin,50,0.0,-0.0976583157352551,-0.0522030322052281,-0.0512265015307952,-0.0010292558508522,-0.0710179007780023,-0.2899663094063497,0.4782608695652174,0.8013149352498121,0.0
行业中性化,行业中性 Ridge Top50,industry_neutral,ridge_industry_neutral,,,50,0.0,-0.0987501920485772,-0.052801577296186,-0.0512265015307952,-0.0016601177920041,-0.0018293725486348,-0.2759716998408057,0.4347826086956521,1.2871651324257982,0.0
财务增强-行业中性,财务增强 Ridge（行业中性） Top50,finance_enhanced,,ridge_finance,ind_neu_fin,50,0.0,-0.1095853367822895,-0.0587600932324742,-0.0512265015307952,-0.0079403479479918,-0.104127124403272,-0.3051528262229418,0.391304347826087,1.1481030349608552,0.0
原始口径,原始 Ridge Top50,robustness_original,ridge,,,50,0.0,-0.1409886018511326,-0.0762282916757357,-0.0512265015307952,-0.0263516953048115,-0.3573371730049379,-0.3098797014741214,0.3478260869565217,0.8958895190809,0.0
原始口径,原始 LightGBM Top50,robustness_original,lightgbm,,,50,0.0,-0.1694862359242875,-0.0923464982504999,-0.0512265015307952,-0.0433401615728618,-0.9082779465638506,-0.3339914068009172,0.4347826086956521,1.4705062988189783,0.0
原始口径,原始低波动单因子 Top100,robustness_original,single_low_vol,,,100,0.0,0.1641303856932539,0.0825192563525694,-0.0512265015307952,0.1409670043473561,1.1844552667138315,-0.1427883466261129,0.6956521739130435,0.989786018356682,0.0
原始口径,原始 BP 价值单因子 Top100,robustness_original,single_bp,,,100,0.0,0.1155954893487847,0.0587322205837839,-0.0512265015307952,0.1158956508502733,0.9361480405664828,-0.1663519485972728,0.6086956521739131,0.2377516777191016,0.0
行业中性化,行业中性 BP 价值单因子 Top100,industry_neutral,single_bp_ind_neu,,,100,0.0,0.0723140781732589,0.0370989103774821,-0.0512265015307952,0.093094307599006,1.4913994222000346,-0.2201865234254187,0.6086956521739131,0.2785632819575588,0.0
行业中性化,行业中性低波动单因子 Top100,industry_neutral,single_low_vol_ind_neu,,,100,0.0,0.064168648355146,0.0329811913190793,-0.0512265015307952,0.0887542632522295,1.0105173502085238,-0.1819393831114523,0.782608695652174,1.0927107305090145,0.0
原始口径,原始低换手单因子 Top100,robustness_original,single_low_turnover,,,100,0.0,0.0527481469927912,0.0271823722319275,-0.0512265015307952,0.0826423523519908,0.6439911057150526,-0.1744642768506501,0.5652173913043478,0.5131658602384771,0.0
财务增强-行业中性,财务增强 LightGBM（行业中性） Top100,finance_enhanced,,lightgbm_finance,ind_neu_fin,100,0.0,-0.0314199103096514,-0.0165181096301718,-0.0512265015307952,0.0365823792049666,0.9162210081725292,-0.2667280279771143,0.5217391304347826,1.124290158566572,0.0
行业中性化,行业中性低换手单因子 Top100,industry_neutral,single_low_turnover_ind_neu,,,100,0.0,-0.0481748524166529,-0.0254313450728614,-0.0512265015307952,0.027187897321703,0.2917418290763713,-0.2171183690144005,0.5652173913043478,0.6564903262892617,0.0
财务增强-原始口径,财务增强 LightGBM（原始口径） Top100,finance_enhanced,,lightgbm_finance,raw_fin,100,0.0,-0.0552874897369601,-0.0292377726129267,-0.0512265015307952,0.0231759518508329,0.4973662533039584,-0.2515804664781838,0.5217391304347826,1.030835762781466,0.0
行业中性化,行业中性 LightGBM Top100,industry_neutral,lightgbm_industry_neutral,,,100,0.0,-0.0664264633100394,-0.035226599047669,-0.0512265015307952,0.016863774661646,0.4043251186106608,-0.2609848742434303,0.4782608695652174,1.303751672541751,0.0
行业中性化,行业中性 Ridge Top100,industry_neutral,ridge_industry_neutral,,,100,0.0,-0.0807547392202022,-0.0429806250870409,-0.0512265015307952,0.0086910906102022,0.1215461416515591,-0.2602160868822263,0.4782608695652174,1.056004573375967,0.0
财务增强-行业中性,财务增强 Ridge（行业中性） Top100,finance_enhanced,,ridge_finance,ind_neu_fin,100,0.0,-0.0848808690475071,-0.0452242619538946,-0.0512265015307952,0.0063263145382801,0.1327471211964719,-0.2787343272851351,0.4782608695652174,0.97394563586815,0.0
财务增强-原始口径,财务增强 Ridge（原始口径） Top100,finance_enhanced,,ridge_finance,raw_fin,100,0.0,-0.0859460133252215,-0.0458042332764917,-0.0512265015307952,0.0057150292067096,-0.0175469250131796,-0.2582442303552368,0.4347826086956521,0.6480488676206048,0.0
原始口径,原始 Ridge Top100,robustness_original,ridge,,,100,0.0,-0.0984199741444407,-0.0526205217799149,-0.0512265015307952,-0.001469286664698,-0.0952670296623655,-0.2699114868280813,0.391304347826087,0.7171676086220417,0.0
原始口径,原始 LightGBM Top100,robustness_original,lightgbm,,,100,0.0,-0.1290828068025831,-0.0695702648459258,-0.0512265015307952,-0.0193341860251444,-0.4634306082218313,-0.297169373332507,0.4347826086956521,1.2513433648304433,0.0
原始口径,原始低波动单因子 Top50,robustness_original,single_low_vol,,,50,0.001,0.2011949025823141,0.1003667737127602,-0.0512265015307952,0.1597781509371236,1.0842333475529795,-0.1233564249643568,0.6956521739130435,1.1838149873372148,0.0011838149873371
行业中性化,行业中性低波动单因子 Top50,industry_neutral,single_low_vol_ind_neu,,,50,0.001,0.1341235462506598,0.0678701636015852,-0.0512265015307952,0.1255269727964965,1.114857736123238,-0.1425608284912641,0.6086956521739131,1.285904505746232,0.0012859045057461
原始口径,原始低换手单因子 Top50,robustness_original,single_low_turnover,,,50,0.001,0.0628385169288809,0.0323073466646171,-0.0512265015307952,0.0880440361479211,0.6056573595147056,-0.1638265821069732,0.5652173913043478,0.577646049694674,0.0005776460496946
原始口径,原始 BP 价值单因子 Top50,robustness_original,single_bp,,,50,0.001,0.0384159436689885,0.0198623812725298,-0.0512265015307952,0.0749271379502305,0.4761037707267239,-0.2281601650679406,0.5652173913043478,0.2193592815155241,0.0002193592815154
行业中性化,行业中性 BP 价值单因子 Top50,industry_neutral,single_bp_ind_neu,,,50,0.001,0.0320700559627091,0.0166058734268608,-0.0512265015307952,0.0714948036249958,1.0576939354355162,-0.2612021483102331,0.6521739130434783,0.3219508321639382,0.0003219508321638
行业中性化,行业中性低换手单因子 Top50,industry_neutral,single_low_turnover_ind_neu,,,50,0.001,-0.0219044425745965,-0.0114889220484905,-0.0512265015307952,0.04188310439364,0.4641848174291018,-0.1925904397638924,0.6086956521739131,0.8358422706766793,0.0008358422706766
财务增强-原始口径,财务增强 LightGBM（原始口径） Top50,finance_enhanced,,lightgbm_finance,raw_fin,50,0.001,-0.063321706189819,-0.033553918996077,-0.0512265015307952,0.0186267666236799,0.3641178060907959,-0.2757080185831487,0.6086956521739131,1.2915237048012946,0.0012915237048012
财务增强-行业中性,财务增强 LightGBM（行业中性） Top50,finance_enhanced,,lightgbm_finance,ind_neu_fin,50,0.001,-0.0915567376457454,-0.0488646243291009,-0.0512265015307952,0.0024894004791502,0.0666179329981519,-0.3056972491211405,0.4782608695652174,1.3642046914209758,0.0013642046914209
行业中性化,行业中性 LightGBM Top50,industry_neutral,lightgbm_industry_neutral,,,50,0.001,-0.103711061037656,-0.0555254059165686,-0.0512265015307952,-0.0045310122939873,0.0176493550960325,-0.2987552651108245,0.4782608695652174,1.5835689002926543,0.0015835689002926
财务增强-原始口径,财务增强 Ridge（原始口径） Top50,finance_enhanced,,ridge_finance,raw_fin,50,0.001,-0.1142718654534817,-0.0613480701869771,-0.0512265015307952,-0.0106680558347304,-0.1901939646248856,-0.2965723673211625,0.4782608695652174,0.8013149352498121,0.0008013149352498
行业中性化,行业中性 Ridge Top50,industry_neutral,ridge_industry_neutral,,,50,0.001,-0.1252469729364987,-0.0674344516765305,-0.0512265015307952,-0.0170830553044387,-0.2672691616634025,-0.2930631165399628,0.391304347826087,1.2871651324257982,0.0012871651324257
财务增强-行业中性,财务增强 Ridge（行业中性） Top50,finance_enhanced,,ridge_finance,ind_neu_fin,50,0.001,-0.1329818772819661,-0.0717459043622493,-0.0512265015307952,-0.0216272934104516,-0.3219045382370472,-0.3199006282697337,0.391304347826087,1.1481030349608552,0.0011481030349608
原始口径,原始 Ridge Top50,robustness_original,ridge,,,50,0.001,-0.1587268945409401,-0.0862304149953628,-0.0512265015307952,-0.0368938566697368,-0.5175686783309056,-0.3211765979186604,0.3478260869565217,0.8958895190809,0.0008958895190808
原始口径,原始 LightGBM Top50,robustness_original,lightgbm,,,50,0.001,-0.1974173409257956,-0.1084030448486673,-0.0512265015307952,-0.0602636386978803,-1.2593838860963678,-0.352386012716445,0.4347826086956521,1.4705062988189783,0.0014705062988189
原始口径,原始低波动单因子 Top100,robustness_original,single_low_vol,,,100,0.001,0.1379841955594953,0.069765205308687,-0.0512265015307952,0.1275243322401984,1.0657801785639158,-0.1483137997806946,0.6086956521739131,0.989786018356682,0.0009897860183566
原始口径,原始 BP 价值单因子 Top100,robustness_original,single_bp,,,100,0.001,0.1095656368358877,0.0557426972531984,-0.0512265015307952,0.1127447161588963,0.9107711336392996,-0.1686367776961368,0.6086956521739131,0.2377516777191016,0.000237751677719
行业中性化,行业中性 BP 价值单因子 Top100,industry_neutral,single_bp_ind_neu,,,100,0.001,0.0654890352608426,0.0336497011138865,-0.0512265015307952,0.0894588674553251,1.4420849879187456,-0.2227450652418627,0.6086956521739131,0.2785632819575588,0.0002785632819575
原始口径,原始低换手单因子 Top100,robustness_original,single_low_turnover,,,100,0.001,0.0403877032250481,0.0208722862933019,-0.0512265015307952,0.0759915701064846,0.584167699443817,-0.1795250287018875,0.5652173913043478,0.5131658602384771,0.0005131658602384
行业中性化,行业中性低波动单因子 Top100,industry_neutral,single_low_vol_ind_neu,,,100,0.001,0.0377952446590157,0.0195442789951432,-0.0512265015307952,0.0745918605864552,0.8245811638571465,-0.19214012868601,0.7391304347826086,1.0927107305090145,0.0010927107305089
财务增强-行业中性,财务增强 LightGBM（行业中性） Top100,finance_enhanced,,lightgbm_finance,ind_neu_fin,100,0.001,-0.0563162868941072,-0.0297894809045637,-0.0512265015307952,0.0225944555374058,0.5690704386227161,-0.276502227462719,0.4347826086956521,1.124290158566572,0.0011242901585665
行业中性化,行业中性低换手单因子 Top100,industry_neutral,single_low_turnover_ind_neu,,,100,0.001,-0.0625550917648288,-0.0331413157897044,-0.0512265015307952,0.0190616472427509,0.1645224889091697,-0.2266047353479815,0.5652173913043478,0.6564903262892617,0.0006564903262892
财务增强-原始口径,财务增强 LightGBM（原始口径） Top100,finance_enhanced,,lightgbm_finance,raw_fin,100,0.001,-0.0775273840668997,-0.0412290637012919,-0.0512265015307952,0.0105372228942246,0.2187300544873095,-0.2655766211396333,0.5217391304347826,1.030835762781466,0.0010308357627814
行业中性化,行业中性 LightGBM Top100,industry_neutral,lightgbm_industry_neutral,,,100,0.001,-0.0941815767309477,-0.0502994562037169,-0.0512265015307952,0.0009770986737867,0.0238132236292296,-0.2788238389020071,0.4782608695652174,1.303751672541751,0.0013037516725416
